date,email,call
2010-08-10,0.0,3
2010-08-11,0.0,117
2010-08-12,0.0,115
2010-08-13,0.0,114
2010-08-14,0.0,70
2010-08-15,0.0,37
2010-08-16,0.0,185
2010-08-17,0.0,191
2010-08-18,0.0,163
2010-08-19,0.0,141
2010-08-20,0.0,202
2010-08-21,0.0,149
2010-08-22,0.0,54
2010-08-23,0.0,175
2010-08-24,0.0,145
2010-08-25,0.0,155
2010-08-26,0.0,162
2010-08-27,0.0,180
2010-08-28,0.0,156
2010-08-29,0.0,90
2010-08-30,0.0,221
2010-08-31,0.0,165
2010-09-01,0.0,167
2010-09-02,0.0,142
2010-09-03,0.0,174
2010-09-04,0.0,131
2010-09-05,0.0,71
2010-09-06,0.0,127
2010-09-07,0.0,145
2010-09-08,0.0,128
2010-09-09,0.0,129
2010-09-10,0.0,136
2010-09-11,0.0,144
2010-09-12,0.0,98
2010-09-13,0.0,163
2010-09-14,0.0,131
2010-09-15,0.0,138
2010-09-16,0.0,131
2010-09-17,0.0,109
2010-09-18,0.0,88
2010-09-19,0.0,74
2010-09-20,0.0,136
2010-09-21,0.0,136
2010-09-22,0.0,149
2010-09-23,0.0,121
2010-09-24,0.0,137
2010-09-25,0.0,114
2010-09-26,0.0,50
2010-09-27,0.0,144
2010-09-28,0.0,124
2010-09-29,0.0,124
2010-09-30,0.0,112
2010-10-01,0.0,98
2010-10-02,0.0,83
2010-10-03,0.0,30
2010-10-04,0.0,97
2010-10-05,0.0,96
2010-10-06,0.0,11
2010-10-07,0.0,114
2010-10-08,0.0,74
2010-10-09,0.0,86
2010-10-10,0.0,39
2010-10-11,0.0,79
2010-10-12,0.0,82
2010-10-13,0.0,77
2010-10-14,0.0,82
2010-10-15,0.0,67
2010-10-16,0.0,122
2010-10-17,0.0,26
2010-10-18,0.0,104
2010-10-19,0.0,86
2010-10-20,0.0,95
2010-10-21,0.0,107
2010-10-22,0.0,90
2010-10-23,0.0,92
2010-10-24,0.0,32
2010-10-25,0.0,100
2010-10-26,0.0,95
2010-10-27,0.0,98
2010-10-28,0.0,70
2010-10-29,0.0,76
2010-10-30,0.0,63
2010-10-31,0.0,36
2010-11-01,0.0,63
2010-11-02,0.0,70
2010-11-03,0.0,97
2010-11-04,0.0,88
2010-11-05,0.0,81
2010-11-06,0.0,45
2010-11-07,0.0,24
2010-11-08,0.0,61
2010-11-09,0.0,80
2010-11-10,0.0,78
2010-11-11,0.0,65
2010-11-12,0.0,79
2010-11-13,0.0,29
2010-11-14,0.0,23
2010-11-15,0.0,105
2010-11-16,0.0,99
2010-11-17,0.0,105
2010-11-18,0.0,106
2010-11-19,0.0,103
2010-11-20,0.0,31
2010-11-21,0.0,29
2010-11-22,0.0,99
2010-11-23,0.0,110
2010-11-24,0.0,83
2010-11-25,0.0,0
2010-11-26,0.0,0
2010-11-27,0.0,0
2010-11-28,0.0,0
2010-11-29,0.0,141
2010-11-30,0.0,125
2010-12-01,0.0,121
